email_body,label
Tafadhali thibitisha mahali utakapohudhuria mafunzo kupitia mfumo wa serikali.,0
Your NIDA account is about to expire. Click here to verify your details immediately.,1
Immediate action required: Reset your Ministry of Health login credentials now.,1
Security alert from eGA: Your email has been flagged. Re-authenticate here immediately.,1
TCRA system detected an unauthorized login attempt. Confirm your identity now.,1
Your government payroll information needs urgent verification to avoid suspension.,1
"You have received a confidential document. Login to download it before it expires.",1
Access your cabinet appointment letter here: secure-govtz-access.com,1
Your Tanzanian e-Gov ID will be disabled unless verified within 24 hours.,1
Ministry email quota exceeded. Click here to increase your storage limit now.,1
A bonus has been issued to your account. Confirm details to claim your payment.,1
URGENT: Your government email will be suspended in 24 hours. Click to prevent this.,1
"TRA tax refund of TSH 2,500,000 is pending. Submit your bank details to receive it.",1
Your HRMS password expires today. Click the link below to reset it immediately.,1
WARNING: Suspicious login detected on your official government account. Verify now.,1
The President's Office has selected you for a special appointment. Click to accept.,1
Your digital signature certificate has expired. Renew it here to avoid service disruption.,1
NIDA urgent notice: Identity verification required within 48 hours or account locked.,1
Ministry of Finance salary slip available. Login at gov-payslip-tz.net immediately.,1
You have a pending document from State House. Click to view and sign before deadline.,1
Security breach detected in government network. Reset your credentials immediately.,1
"Congratulations! Your promotion has been approved. Login to confirm your new grade.",1
eGA system upgrade requires all staff to re-register credentials by this Friday.,1
TCRA has issued a compliance fine against you. Pay online now to avoid legal action.,1
Your retirement benefit is ready for disbursement. Provide bank details to proceed.,1
PSC urgent: Complete your verification or your employment status will be suspended.,1
Your government VPN access will expire in 2 hours. Click here to renew it now.,1
Ministry IT department: Your account shows unusual activity. Reset your password now.,1
"You have won a government employee award of TSH 3,000,000. Claim your prize here.",1
eGA portal: Complete KYC verification immediately to maintain access to government services.,1
ALERT: Your biometric data needs re-enrollment. Click here to schedule your appointment.,1
Akaunti yako ya NIDA itafungwa kama hautathibitisha taarifa zako.,1
Bonyeza hapa kupokea mshahara wako kwa mwezi huu.,1
Umechaguliwa kushiriki mkutano wa kimataifa. Jisajili kwa haraka hapa.,1
TCRA imeshatuma ujumbe wa dharura. Fungua barua pepe yako kuthibitisha.,1
"Huduma ya TRA imefungwa kwa muda. Ili kurejeshwa, bonyeza kiungo hiki haraka.",1
Akaunti yako ya barua pepe ya serikali itafutwa ndani ya masaa 24. Thibitisha sasa.,1
"Umepata zawadi ya TSH 5,000,000 kutoka Ofisi ya Rais. Bonyeza hapa kudai.",1
Nenosiri lako la HRMS limekwisha muda wake. Bonyeza hapa kusasisha haraka.,1
Tahadhari: Mtu asiyejulikana ameingia akaunti yako. Thibitisha utambulisho wako sasa.,1
Pesa yako ya kustaafu iko tayari. Toa namba ya benki yako kupokea malipo.,1
Wizara ya Afya inakuhitaji kuthibitisha taarifa zako za bima haraka iwezekanavyo.,1
Folamu ya mapitio ya mshahara inakusubiri. Ingia sasa kwa kiungo hiki.,1
NIDA imegundua tatizo na kitambulisho chako. Thibitisha sasa au kitafungwa.,1
"Hongera! Umechaguliwa kwa nafasi ya juu serikalini. Bonyeza hapa kuthibitisha.",1
Akaunti yako ya e-Government itafungwa. Ingia sasa na nywila yako kuendelea.,1
Umepata ujumbe wa siri kutoka Ikulu. Bonyeza hapa kuona na kusaini haraka.,1
DHARURA: Taarifa zako za kitambulisho zinahitaji uthibitisho ndani ya saa 12.,1
Mfumo wa TCRA umegundua tatizo la usalama. Thibitisha nywila yako sasa.,1
"Zawadi yako ya mwisho wa mwaka ipo tayari. Toa taarifa za benki yako kupokea.",1
Barua pepe yako ya serikali itasimamishwa. Bonyeza hapa kuzuia hilo kutokea.,1
